Recipe Name,Cook Time,Yield,Calories,Main Ingredient,URL
Curried Chicken Breasts,40.0,4.0,1524.671844,Chicken breast,http://www.marthastewart.com/313337/curried-chicken-breasts
"Chicken Breast, Dried Tomato and Mozzarella Panini",201.0,12.0,3401.9189784,Chicken breast,https://www.foodnetwork.com/recipes/chicken-breast-dried-tomato-and-mozzarella-panini-recipe-1951923
Mojito-Marinated Chicken Breasts,50.0,6.0,1802.8299999974236,Chicken breast,http://www.epicurious.com/recipes/food/views/Mojito-Marinated-Chicken-Breasts-109705
Balsamic Glazed Chicken Breast,55.0,12.0,4340.47372945745,Chicken breast,https://www.foodnetwork.com/recipes/balsamic-glazed-chicken-breast-recipe-1945670
Simple Baked Chicken Breasts,30.0,6.0,1485.8125930922001,Chicken breast,https://www.marthastewart.com/1120574/simple-baked-chicken-breasts
Pan-Seared Chicken Breast with Rich Pan Sauce,35.0,4.0,1185.1250160007212,Chicken breast,http://www.myrecipes.com/recipe/pan-seared-chicken-breast
Curried Maple-Mustard Chicken Breasts,85.0,4.0,3670.1244583383004,Chicken breast,http://www.delish.com/cooking/recipe-ideas/recipes/a23396/curried-maple-mustard-chicken-breasts-recipe-fw0814/
Cornmeal-Crusted Chicken Breasts,35.0,6.0,2748.716499999672,Chicken breast,http://www.epicurious.com/recipes/food/views/Cornmeal-Crusted-Chicken-Breasts-101980
Sautéed Chicken Breasts,20.0,4.0,1058.032766,Chicken breast,http://www.myrecipes.com/recipe/sauted-chicken-breasts
Prosciutto-Wrapped Chicken Breast,40.0,2.0,1695.9777406257633,Chicken breast,https://www.foodnetwork.com/recipes/geoffrey-zakarian/prosciutto-wrapped-chicken-breast-3414221
Chicken Breasts Stuffed with White Beans,45.0,4.0,2144.8799598922,Chicken breast,http://www.marthastewart.com/319533/chicken-breasts-stuffed-with-white-beans
Chicken Breasts with Lemon-Caper Sauce,35.0,4.0,1875.1717499997596,Chicken breast,http://www.delish.com/cooking/recipe-ideas/recipes/a29790/chicken-breasts-lemon-caper-sauce/
